ID,Sex,standard_length_mm,wet_weight_fish_mg,dry_weight_fish_mg,tapeworm_presence,tapeworm_intensity,wet_weight_worm_mg,dry_weight_worm_mg,fibrosis_score,percentN_fish,percentN_worm,percentC_fish,percentC_worm,percentP_fish,percentP_worm,CNmolar_fish,CNmolar_cestode,CPmolar_fish,CPmolar_cestode,NPmolar_fish,NPmolar_cestode
20.042,?,33.15,474.5,61.54,yes ,2,89.6,87.06,0,10.52,9.36,38.13,46.77,5.074,1.901,1.433450959,1.976165419,6.565947364,21.49525518,4.580517612,10.877255
20.043,?,40.45,651,100.4,no,0,NA,NA,0,11.24,NA,43.56,NA,3.347,NA,1.532686506,NA,11.37138106,NA,7.419247846,NA
20.044,?,28.72,252,,yes ,2,4.8,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20.045,?,33.12,417.8,61.58,no,0,NA,NA,0,8.17,NA,34.28,NA,4.036,NA,1.65939788,NA,7.420993522,NA,4.472100159,NA
20.046,?,32.75,330.7,60.69,no,0,NA,NA,1,10.49,NA,40.39,NA,3.229,NA,1.522755368,NA,10.92770635,NA,7.176271764,NA
20.047,?,39.59,552.4,108.15,no,0,NA,NA,0,10.59,NA,42.73,NA,3.543,NA,1.59576416,NA,10.53665824,NA,6.602891895,NA
20.048,?,37.1,542.3,,yes ,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20.049,?,37.01,468.6,87.42,no,0,NA,NA,0,9.86,NA,40.97,NA,3.398,NA,1.643315014,NA,10.53447395,NA,6.41050186,NA
20.05,?,38.66,569.5,101.45,no,0,NA,NA,0,9.67,NA,38.44,NA,3.843,NA,1.57213081,NA,8.739955138,NA,5.559305295,NA
20.051,?,42.66,791.6,140.65,no,0,NA,NA,0,9.32,NA,33.93,NA,5.136,NA,1.439791885,NA,5.772070705,NA,4.008961827,NA
20.052,?,41.48,673,,yes ,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20.053,?,39.18,583.8,105.63,no,0,NA,NA,0,10.23,NA,38.7,NA,2.983,NA,1.496122332,NA,11.33368889,NA,7.575375787,NA
20.054,?,40.51,642.8,113.53,no,0,NA,NA,0,9.53,NA,38.14,NA,5.062,NA,1.582776386,NA,6.583641467,NA,4.159552497,NA
20.055,?,38.03,579.7,122.59,no,0,NA,NA,0,10.04,NA,41.5,NA,5.937,NA,1.634730472,NA,6.107400081,NA,3.736028775,NA
20.056,?,27.79,208.1,,,,,,0,,,,,,,,,,,,
20.057,?,43.09,918.6,,,,,,0,,,,,,,,,,,,
20.058,?,46.63,1198.9,,,,,,0,,,,,,,,,,,,
20.059,?,44.07,1011.5,,,,,,0,,,,,,,,,,,,
20.06,?,42.25,820.3,,,,,,0,,,,,,,,,,,,
20.061,?,40.48,700.9,,,,,,0,,,,,,,,,,,,
20.062,?,39.98,587.6,,,,,,0,,,,,,,,,,,,
20.063,?,37.03,646.1,,,,,,0,,,,,,,,,,,,
20.064,?,30.84,259.7,,,,,,0,,,,,,,,,,,,
20.065,?,31.33,275.4,,,,,,0,,,,,,,,,,,,
20.066,?,37.34,580,,,,,,0,,,,,,,,,,,,
20.067,?,31.13,298.7,,,,,,0,,,,,,,,,,,,
20.068,?,,,,,,,,,,,,,,,,,,,,
20.069,?,,,,,,,,,,,,,,,,,,,,
20.07,?,,,,,,,,,,,,,,,,,,,,
